csv_name,column_name,type,required,min,max,allowed_values,foreign_key,notes
schools_master.csv,school_id,string,1,,,,schools_master.school_id,V11.6.3 schema contract; required; type=string; foreign key enforced.
schools_master.csv,school_name,string,1,,,,,V11.6.3 schema contract; required; type=string.
schools_master.csv,mascot,string,1,,,,,V11.6.3 schema contract; required; type=string.
schools_master.csv,subdivision,string,1,,,,,V11.6.3 schema contract; required; type=string.
schools_master.csv,subdivision_level,string,1,,,FBS_POWER|FBS_G5|FCS_TOP|FCS_LOW|OTHER,,V11.6.3 schema contract; required; type=string; enum enforced.
schools_master.csv,conference,string,1,,,,,V11.6.3 schema contract; required; type=string.
schools_master.csv,city,string,1,,,,,V11.6.3 schema contract; required; type=string.
schools_master.csv,state,string,1,,,,,V11.6.3 schema contract; required; type=string.
schools_master.csv,active,boolean,1,,,,,V11.6.3 schema contract; required; type=boolean.
schools_master.csv,ipeds_id,string,0,,,,,V11.6.3 schema contract; optional; type=string.
schools_master.csv,notes,string,0,,,,,V11.6.3 schema contract; optional; type=string.
campus_locations_verified.csv,school_id,string,1,,,,schools_master.school_id,V11.6.3 schema contract; required; type=string; foreign key enforced.
campus_locations_verified.csv,school_name,string,1,,,,,V11.6.3 schema contract; required; type=string.
campus_locations_verified.csv,city,string,1,,,,,V11.6.3 schema contract; required; type=string.
campus_locations_verified.csv,state,string,1,,,,,V11.6.3 schema contract; required; type=string.
campus_locations_verified.csv,lat,number,1,-90,90,,,V11.6.3 schema contract; required; type=number; range=-90..90.
campus_locations_verified.csv,lon,number,1,-180,180,,,V11.6.3 schema contract; required; type=number; range=-180..180.
campus_locations_verified.csv,timezone,string,1,,,,,V11.6.3 schema contract; required; type=string.
campus_locations_verified.csv,geo_precision,string,1,,,,,V11.6.3 schema contract; required; type=string.
campus_locations_verified.csv,verification_status,string,1,,,,,V11.6.3 schema contract; required; type=string.
campus_locations_verified.csv,notes,string,0,,,,,V11.6.3 schema contract; optional; type=string.
school_finance_proxies.csv,school_id,string,1,,,,schools_master.school_id,V11.6.3 schema contract; required; type=string; foreign key enforced.
school_finance_proxies.csv,athletic_revenue_proxy,number,1,,,,,V11.6.3 schema contract; required; type=number.
school_finance_proxies.csv,football_expense_proxy,number,1,,,,,V11.6.3 schema contract; required; type=number.
school_finance_proxies.csv,donor_booster_proxy,number,1,,,,,V11.6.3 schema contract; required; type=number.
school_finance_proxies.csv,facilities_score,number,1,0,100,,,V11.6.3 schema contract; required; type=number; range=0..100.
school_finance_proxies.csv,staff_budget_score,number,1,0,100,,,V11.6.3 schema contract; required; type=number; range=0..100.
school_finance_proxies.csv,source_basis,string,1,,,,,V11.6.3 schema contract; required; type=string.
school_success_history.csv,school_id,string,1,,,,schools_master.school_id,V11.6.3 schema contract; required; type=string; foreign key enforced.
school_success_history.csv,historical_brand_score,number,1,0,100,,,V11.6.3 schema contract; required; type=number; range=0..100.
school_success_history.csv,recent_success_score,number,1,0,100,,,V11.6.3 schema contract; required; type=number; range=0..100.
school_success_history.csv,conference_strength_score,number,1,0,100,,,V11.6.3 schema contract; required; type=number; range=0..100.
school_success_history.csv,nfl_draft_output_proxy,number,1,,,,,V11.6.3 schema contract; required; type=number.
school_success_history.csv,prestige_score,number,1,0,100,,,V11.6.3 schema contract; required; type=number; range=0..100.
school_success_history.csv,source_basis,string,1,,,,,V11.6.3 schema contract; required; type=string.
school_recruiting_power.csv,school_id,string,1,,,,schools_master.school_id,V11.6.3 schema contract; required; type=string; foreign key enforced.
school_recruiting_power.csv,recruiting_power,number,1,,,,,V11.6.3 schema contract; required; type=number.
school_recruiting_power.csv,blue_chip_access,number,1,,,,,V11.6.3 schema contract; required; type=number.
school_recruiting_power.csv,regional_pull,number,1,,,,,V11.6.3 schema contract; required; type=number.
school_recruiting_power.csv,national_pull,number,1,,,,,V11.6.3 schema contract; required; type=number.
school_recruiting_power.csv,relationship_floor,number,1,,,,,V11.6.3 schema contract; required; type=number.
school_recruiting_power.csv,source_basis,string,1,,,,,V11.6.3 schema contract; required; type=string.
nil_market_proxies.csv,school_id,string,1,,,,schools_master.school_id,V11.6.3 schema contract; required; type=string; foreign key enforced.
nil_market_proxies.csv,tier,string,1,,,,,V11.6.3 schema contract; required; type=string.
nil_market_proxies.csv,nil_proxy_score,number,1,0,100,,,V11.6.3 schema contract; required; type=number; range=0..100.
nil_market_proxies.csv,football_nil_pool_mean_usd,number,1,,,,,V11.6.3 schema contract; required; type=number.
nil_market_proxies.csv,retention_pool_pct,number,1,0,1,,,V11.6.3 schema contract; required; type=number; range=0..1.
nil_market_proxies.csv,hs_pool_pct,number,1,0,1,,,V11.6.3 schema contract; required; type=number; range=0..1.
nil_market_proxies.csv,portal_pool_pct,number,1,0,1,,,V11.6.3 schema contract; required; type=number; range=0..1.
nil_market_proxies.csv,source_basis,string,1,,,,,V11.6.3 schema contract; required; type=string.
nil_position_budget_shares.csv,position_group,string,1,,,QB|RB|WR|TE|OT|IOL|EDGE|IDL|LB|CB|S|K|P|ATH|ST|DEFAULT,,V11.6.3 schema contract; required; type=string; enum enforced.
nil_position_budget_shares.csv,football_budget_share,number,1,0,1,,,V11.6.3 schema contract; required; type=number; range=0..1.
nil_position_budget_shares.csv,source_basis,string,1,,,,,V11.6.3 schema contract; required; type=string.
nil_player_demand_model.csv,component,string,1,,,,,V11.6.3 schema contract; required; type=string.
nil_player_demand_model.csv,weight,number,1,0,1,,,V11.6.3 schema contract; required; type=number; range=0..1.
nil_player_demand_model.csv,description,string,0,,,,,V11.6.3 schema contract; optional; type=string.
school_academic_rules.csv,school_id,string,1,,,,schools_master.school_id,V11.6.3 schema contract; required; type=string; foreign key enforced.
school_academic_rules.csv,academic_model,string,1,,,,,V11.6.3 schema contract; required; type=string.
school_academic_rules.csv,academic_strictness,number,1,,,,,V11.6.3 schema contract; required; type=number.
school_academic_rules.csv,transfer_acceptance_modifier,number,1,,,,,V11.6.3 schema contract; required; type=number.
school_academic_rules.csv,juco_acceptance_modifier,number,1,,,,,V11.6.3 schema contract; required; type=number.
school_academic_rules.csv,notes,string,0,,,,,V11.6.3 schema contract; optional; type=string.
academic_eligibility_model.csv,component,string,1,,,,,V11.6.3 schema contract; required; type=string.
academic_eligibility_model.csv,required_value,number,1,,,,,V11.6.3 schema contract; required; type=number.
academic_eligibility_model.csv,weight,number,1,0,1,,,V11.6.3 schema contract; required; type=number; range=0..1.
academic_eligibility_model.csv,description,string,0,,,,,V11.6.3 schema contract; optional; type=string.
school_archetypes.csv,archetype_id,string,1,,,,,V11.6.3 schema contract; required; type=string.
school_archetypes.csv,scheme,string,1,,,,,V11.6.3 schema contract; required; type=string.
school_archetypes.csv,recruiting_style,string,1,,,,,V11.6.3 schema contract; required; type=string.
school_archetypes.csv,development_style,string,1,,,,,V11.6.3 schema contract; required; type=string.
school_archetypes.csv,transfer_aggression,number,1,,,,,V11.6.3 schema contract; required; type=number.
